ORF	phi
YAL058W	0.056622112
YAR020C	0.994551523
YAR029W	0.00207084
YBL030C	1.490918199
YBL059W	0.012668596
YBR006W	0.009430413
YBR022W	0.040041624
YBR035C	0.262260547
YBR043C	0.009788379
YBR068C	0.09921754
YBR102C	0.00662716
YBR210W	0.04314554
YBR218C	0.082769083
YBR236C	0.052703803
YBR238C	0.014565278
YBR274W	0.0212556
YBR290W	0.052300443
YCL034W	0.152139174
YCR030C	0.018185719
YCR063W	0.000910399
YDL014W	0.894921772
YDL022W	0.6184187
YDL058W	0.009276075
YDL063C	0.02564237
YDL069C	0.009189525
YDL086W	0.118851764
YDL089W	0.007509801
YDL108W	0.032017254
YDL120W	0.00675897
YDL130W	15.9158427
YDL134C	0.044752392
YDL188C	0.102178202
YDR005C	0.021495975
YDR011W	0.096862996
YDR043C	0.005461
YDR050C	15.68581543
YDR080W	0.009536743
YDR138W	0.007329139
YDR180W	0.013478562
YDR221W	0.01096194
YDR263C	0.004606146
YDR305C	0.027133813
YDR308C	0.072918968
YDR394W	0.105635606
YDR411C	0.084666894
YDR414C	0.008733113
YDR441C	0.039624151
YDR478W	0.032945845
YDR497C	0.209038149
YDR502C	0.216983095
YDR528W	0.003499814
YEL020C	0.015278353
YEL044W	0.158818193
YER030W	0.243512237
YER064C	0.089950452
YER076C	0.015004681
YER120W	0.466116354
YER131W	0.606335645
YER143W	0.046916939
YER171W	0.01781104
YFL001W	0.026480824
YFL038C	1.073773139
YFL048C	0.101214423
YFL058W	0.007973946
YFR016C	0.018648302
YFR028C	0.067405007
YFR035C	0.011184508
YFR042W	0.038583623
YFR043C	0.032887005
YFR052W	0.106225529
YGL001C	0.229766234
YGL017W	0.015770884
YGL026C	0.559686195
YGL044C	0.06575323
YGL055W	0.564702749
YGL056C	0.038355915
YGL059W	0.002872788
YGL060W	0.02291675
YGL081W	0.007746292
YGL128C	0.015336124
YGL162W	0.008367048
YGL167C	0.046552104
YGL254W	0.006177397
YGR098C	0.012115375
YGR186W	0.048524906
YGR212W	0.001697431
YHR027C	0.302517355
YHR040W	0.043439353
YHR044C	0.004251415
YHR063C	0.155272873
YHR068W	0.572006652
YHR078W	0.011808072
YHR119W	0.010648482
YHR120W	0.00578263
YIL057C	0.008311467
YIL074C	0.092349262
YIL116W	0.099127915
YIL126W	0.013856882
YIL149C	0.01290193
YIR015W	0.00269851
YJL006C	0.04922101
YJL041W	0.076756002
YJL060W	0.020374088
YJL068C	0.103178466
YJL079C	0.132301174
YJL116C	0.018502852
YJL124C	0.066939568
YJL128C	0.040442126
YJL145W	0.126723337
YJL147C	0.002577787
YJL157C	0.140583268
YJL209W	0.017846584
YJL218W	0.031123037
YJR053W	0.00247302
YJR127C	0.007654283
YJR145C	3.48034344
YKL006W	3.756012975
YKL011C	0.008900569
YKL045W	0.049620632
YKL055C	0.003761104
YKL078W	0.026290532
YKL095W	0.004141509
YKL105C	0.010262782
YKL120W	0.421915183
YKL152C	4.328178036
YKR018C	0.149097953
YKR029C	0.010452245
YKR044W	0.006784083
YLR016C	0.069440116
YLR026C	0.036956979
YLR027C	0.507867461
YLR055C	0.028658137
YLR056W	1.604344969
YLR060W	0.779674971
YLR069C	0.069182024
YLR073C	0.018039074
YLR091W	0.008516853
YLR096W	0.0132463
YLR199C	0.07883152
YLR211C	0.019775114
YLR321C	0.030742493
YLR364W	0.12675619
YLR406C	1.42170809
YML030W	0.111162106
YML063W	0.510319424
YML098W	0.047873691
YML103C	0.014928794
YMR013C	0.012563733
YMR035W	0.050417345
YMR073C	0.117741646
YMR100W	0.008300425
YMR136W	0.010079321
YMR140W	0.011677394
YMR171C	0.013754325
YMR177W	0.021217981
YMR223W	0.002827472
YMR288W	0.004878673
YMR309C	0.114453723
YNL070W	0.767957602
YNL100W	0.130422423
YNL113W	0.311936618
YNL124W	0.065915664
YNL194C	0.00313027
YNL249C	0.020030176
YNL269W	0.001958576
YNL280C	0.197113341
YNL320W	0.029453359
YNR060W	0.008437336
YNR063W	0.001971034
YOL030W	0.678043046
YOL058W	0.053484652
YOL107W	0.009443816
YOL137W	0.015808283
YOL156W	0.000506179
YOR020C	0.568577248
YOR152C	0.002595841
YOR155C	0.021462264
YOR173W	0.007259279
YOR178C	0.000861341
YOR179C	0.032885989
YOR217W	0.028930685
YOR230W	0.614586373
YOR242C	0.007626524
YOR329C	0.016956775
YOR348C	0.013500882
YPL005W	0.010220048
YPL006W	0.013185331
YPL021W	0.00853473
YPL032C	0.069483251
YPL063W	0.124815831
YPL115C	0.012813431
YPL162C	0.003480666
YPL202C	0.011955011
YPL224C	0.025393073
YPL225W	0.470304172
YPL236C	0.004301516
YPR015C	0.008365601
YPR027C	0.001577837
YPR111W	0.004582194
YPR156C	0.033764105
